Slide,Section,Title,Hook,Talking Points,Memorable Quote,Transition
1,I — Set Up,Title — Structured Credit Masterclass,"Welcome. Over the next 90 minutes we'll walk the entire credit migration pipeline.","43 slides organised in 8 acts • 4 interactive widgets and 4 checkpoint quizzes • Citations on every named example and case","You'll see how structured credit actually works — not the textbook version.","Let's start with the foundational rule that governs everything else."
2,I — Set Up,The Boomerang Rule (Axiom 01),Lending is fundamentally a collections business. Cash must return.,"Origination volume is vanity; recovery is sanity • No structuring cures structural default • 2008 NINJA loans • 2018 IL&FS • 2019 DHFL — same lesson every time • Every layer downstream depends on cash actually being collected","Cash must return. Everything else is plumbing.","Why does cash sometimes not return? Two reasons."
3,I — Set Up,Intent vs Ability — The Credit Faultline,Two failure modes — but only one is structurable.,"Intent failures = behavioural (fraud willful default deception) — structure CAN'T cure • Ability failures = mathematical (cycles shocks coverage) — structure CAN cure • IL&FS and DHFL were INTENT failures dressed up as ability paperwork • Origination integrity (KYC bureau Account Aggregator) holds the intent line","Structure addresses ability; nothing addresses bad intent.","Given we can only fix ability — what's our thesis?"
4,I — Set Up,The Core Thesis,One sentence: any credit risk is viable if structured properly.,"There is no universally good or bad asset class • Only structures that fit (or don't fit) the cash flow • Music royalties were unbankable until Bowie Bonds • SME revolving credit was exotic until master trust mechanics existed","The work of structured credit is building containment vessels — not declining atypical risk.","Compare standard credit to structured credit."
5,I — Set Up,Standard vs Structured (Bicycle vs Lunar Rover),Two completely different vehicles for completely different terrains.,"Standard corporate credit = rigid templates (EBITDA coverage debt/equity ratios) • Doesn't fit the box → declined • Structured = lunar rover custom-engineered for volatile cash flow terrains • Cost = complexity; reward = capital access otherwise locked out","Build the rover when the bicycle won't cross the terrain.","This idea is 2500 years old."
6,I — Set Up,Risk Pooling — Ancient Origins,Securitisation is not a Western invention.,"India's Srenis pooled maritime cargo risk ~8th century BCE • Hundis = early bills of exchange; Shahjog variant = early KYC restriction • Prussian Pfandbrief 1769 = first covered bond (Frederick II forced pooling of war-torn estates) • Three architectures still echo in every modern deal","What looks new on Wall Street is often ancient on the subcontinent.","Modern application — let's vote."
7,I — Set Up,IP Royalties Case (Interactive),A musician wants liquidity against future streams. Decline or structure?,"Audience votes — most groups decline initially • Reveal: Bowie Bonds 1997 $55M AAA placed with Prudential • Same blueprint: Hipgnosis Songs Fund £1Bn LSE listing (2018) • Rihanna catalog 2021; Bruce Springsteen $550M 2022; Justin Bieber $200M 2022 • Any predictable cash stream can be securitised","Decline is a structural failure of imagination.","Now let's see the architecture itself."
8,I — Set Up,The Credit Migration Pipeline,Every securitised deal walks five stations.,"Box 1: Origination — digital LOS underwriting • Box 2: Pooling — asset selection diversification math • Box 3: SPV — True Sale bankruptcy-remote trust • Box 4: Tranching — Senior/Mezz/Equity stack with credit enhancements • Box 5: Investors — capital deployed • Forward flow = risk migrating outward • Return flow = the boomerang back to originator's equity","Hold the map. Every slide that follows zooms into one box.","Box 1: Origination."
9,II — Foundation,The Source — LOS Hygiene,Garbage in equals garbage out mathematically guaranteed.,"Real-time GST and tax data pull • Bank statement analysis via Account Aggregator framework • Bureau review + director KYC + SARFAESI flag check • Human-in-the-loop catches what algorithms miss (circular ownership undisclosed litigation) • Aurionpro SmartLender and iCashpro are production examples","Flaws in origination compound through every downstream layer.","How do large credits get distributed in the first place?"
10,II — Foundation,Three Structural Formats,Three architectures for distributing large credit exposures.,"Syndicated lending = horizontal sharing among banks (tied to consortium balance sheet capacity) • Project Finance = ring-fenced single asset non-recourse SPV (highway power plant) • Securitisation = pool fragmentation → tradable institutional liabilities • Only securitisation converts thousands of ₹10L SME loans into a ₹500 Cr AAA","Securitisation is the only architecture that does true alchemy on credit.","What are the structural pillars?"
